location,Type,name
BTM,Buffet,9
BTM,Cafes,44
BTM,Delivery,1367
BTM,Desserts,105
BTM,Dine-out,821
BTM,Drinks & nightlife,8
BTM,Pubs and bars,10
Banashankari,Buffet,5
Banashankari,Cafes,24
Banashankari,Delivery,233
Banashankari,Desserts,46
Banashankari,Dine-out,237
Banashankari,Drinks & nightlife,7
Banaswadi,Cafes,12
Banaswadi,Delivery,150
Banaswadi,Desserts,18
Banaswadi,Dine-out,199
Banaswadi,Drinks & nightlife,3
Banaswadi,Pubs and bars,1
Bannerghatta Road,Buffet,6
Bannerghatta Road,Cafes,25
Bannerghatta Road,Delivery,467
Bannerghatta Road,Desserts,91
Bannerghatta Road,Dine-out,367
Bannerghatta Road,Drinks & nightlife,6
Bannerghatta Road,Pubs and bars,1
Basavanagudi,Buffet,2
Basavanagudi,Cafes,8
Basavanagudi,Delivery,187
Basavanagudi,Desserts,41
Basavanagudi,Dine-out,196
Basavanagudi,Drinks & nightlife,1
Bellandur,Buffet,18
Bellandur,Cafes,31
Bellandur,Delivery,476
Bellandur,Desserts,64
Bellandur,Dine-out,398
Bellandur,Drinks & nightlife,13
Bellandur,Pubs and bars,12
Brigade Road,Buffet,13
Brigade Road,Cafes,21
Brigade Road,Delivery,222
Brigade Road,Desserts,45
Brigade Road,Dine-out,231
Brigade Road,Drinks & nightlife,21
Brigade Road,Pubs and bars,10
Brookefield,Buffet,3
Brookefield,Cafes,15
Brookefield,Delivery,275
Brookefield,Desserts,37
Brookefield,Dine-out,206
Brookefield,Drinks & nightlife,2
Domlur,Buffet,5
Domlur,Cafes,12
Domlur,Delivery,161
Domlur,Desserts,24
Domlur,Dine-out,89
Domlur,Drinks & nightlife,8
Domlur,Pubs and bars,5
Electronic City,Buffet,14
Electronic City,Cafes,19
Electronic City,Delivery,517
Electronic City,Desserts,69
Electronic City,Dine-out,469
Electronic City,Drinks & nightlife,16
Electronic City,Pubs and bars,15
Frazer Town,Buffet,1
Frazer Town,Cafes,10
Frazer Town,Delivery,247
Frazer Town,Desserts,43
Frazer Town,Dine-out,131
Frazer Town,Drinks & nightlife,2
Frazer Town,Pubs and bars,2
HSR,Buffet,11
HSR,Cafes,31
HSR,Delivery,1003
HSR,Desserts,102
HSR,Dine-out,446
HSR,Drinks & nightlife,5
HSR,Pubs and bars,8
Indiranagar,Buffet,20
Indiranagar,Cafes,74
Indiranagar,Delivery,717
Indiranagar,Desserts,116
Indiranagar,Dine-out,426
Indiranagar,Drinks & nightlife,43
Indiranagar,Pubs and bars,41
JP Nagar,Buffet,19
JP Nagar,Cafes,38
JP Nagar,Delivery,597
JP Nagar,Desserts,100
JP Nagar,Dine-out,482
